SequÍncia;Data Fato;Hora Fato;Grupo Fato;Tipo Enquadramento;Tipo Fato;Municipio Fato;Local Fato;Bairro;Quantidade VÌtimas;Idade VÌtima;Sexo VÌtima;Cor VÌtima
26724;12/01/2024;21:00:00;CRIMES;ESTUPRO;Consumado;ARARICA;RESIDENCIA;IntegraÁ„o;1;16;Feminino;Branca
27357;13/01/2024;07:47:00;CRIMES;ESTUPRO;Consumado;LAJEADO;RESIDENCIA;;1;23;Feminino;Branca
27725;13/01/2024;12:00:00;CRIMES;ESTUPRO;Consumado;PORTO ALEGRE;RESIDENCIA;Centro HistÛrico;1;37;Feminino;Branca
28054;13/01/2024;16:00:00;CRIMES;ESTUPRO;Consumado;VIAMAO;RESIDENCIA;Parque Indio Jari;1;15;Feminino;Branca
29197;14/01/2024;03:30:00;CRIMES;ESTUPRO;Consumado;PANAMBI;OUTROS;Distrito Industrial;1;15;Feminino;Branca
29242;14/01/2024;04:30:00;CRIMES;ESTUPRO;Consumado;SOBRADINHO;OUTROS;Vera Cruz;1;26;Masculino;Branca
29636;14/01/2024;12:00:00;CRIMES;ESTUPRO;Consumado;NOVA ARACA;RESIDENCIA;Vila Zucchetti;1;14;Feminino;Parda
30313;14/01/2024;19:00:00;CRIMES;ESTUPRO;Consumado;JULIO DE CASTILHOS;RESIDENCIA;;1;24;Feminino;Branca
30539;14/01/2024;21:00:00;CRIMES;ESTUPRO;Consumado;SANTO AUGUSTO;OUTROS;Interior;1;40;Feminino;Parda
30820;15/01/2024;01:00:00;CRIMES;ESTUPRO;Consumado;SANTA MARIA;VIA PUBLICA;FATIMA;1;21;Feminino;Branca
30856;15/01/2024;02:00:00;CRIMES;ESTUPRO;Consumado;IGREJINHA;RESIDENCIA;Lajeadinho;1;15;Feminino;Branca
31000;15/01/2024;07:00:00;CRIMES;ESTUPRO;Consumado;ROLANTE;ESTABELECIMENTO COMERCIAL;RIO BRANCO;1;15;Feminino;Branca
35338;16/01/2024;21:40:00;CRIMES;ESTUPRO;Consumado;NOVO HAMBURGO;OUTROS;Primavera;1;21;Feminino;Branca
36364;17/01/2024;14:00:00;CRIMES;ESTUPRO;Consumado;GRAVATAI;RESIDENCIA;NeÛpolis;1;16;Feminino;Branca
36474;17/01/2024;14:35:00;CRIMES;ESTUPRO;Consumado;CIDREIRA;RESIDENCIA;CIDREIRA;1;26;Feminino;Branca
37571;18/01/2024;06:00:00;CRIMES;ESTUPRO;Consumado;PAROBE;RESIDENCIA;Guarani;1;20;Feminino;Parda
38965;18/01/2024;17:40:00;CRIMES;ESTUPRO;Consumado;CIDREIRA;RESIDENCIA;CIDREIRA;1;30;Feminino;Branca
